site;management;DBH (cm);hollow;DBHclass
KRIVE;pollard;81;1;3
KRIVE;pollard;88;1;3
KRIVE;pollard;124;1;5
KRIVE;pollard;127;1;5
KRIVE;pollard;64;1;3
KRIVE;pollard;156;1;6
KRIVE;pollard;99;1;4
KRIVE;pollard;38;0;2
KRIVE;pollard;73;0;3
KRIVE;pollard;108;1;4
KRIVE;pollard;102;1;4
KRIVE;pollard;127;1;5
KRIVE;pollard;48;0;2
KRIVE;pollard;96;0;4
KRIVE;pollard;64;0;3
KRIVE;pollard;96;1;4
KRIVE;pollard;104;1;4
KRIVE;pollard;105;1;4
KRIVE;pollard;67;1;3
KRIVE;pollard;102;1;4
KRIVE;pollard;166;1;6
KRIVE;pollard;73;1;3
KRIVE;pollard;143;1;5
KRIVE;pollard;159;1;6
KRIVE;pollard;166;1;6
KRIVE;pollard;140;1;5
KRIVE;pollard;108;1;4
KRIVE;pollard;146;1;5
KRIVE;pollard;146;0;5
KRIVE;pollard;127;1;5
VOJK;pollard;80;0;3
VOJK;pollard;86;1;3
VOJK;pollard;83;1;3
VOJK;pollard;82;1;3
VOJK;pollard;58;1;2
VOJK;pollard;69;1;3
VOJK;pollard;81;1;3
VOJK;pollard;66;1;3
VOJK;pollard;102;1;4
VOJK;pollard;56;1;2
VOJK;pollard;96;1;4
VOJK;pollard;77;1;3
VOJK;pollard;83;1;3
VOJK;pollard;86;1;3
VOJK;pollard;72;1;3
VOJK;pollard;74;1;3
VOJK;pollard;89;1;3
VOJK;pollard;54;1;2
VOJK;pollard;85;1;3
VOJK;pollard;75;1;3
VOJK;pollard;80;1;3
VOJK;pollard;82;1;3
VOJK;pollard;63;1;3
VOJK;pollard;79;1;3
VOJK;pollard;65;1;3
VOJK;pollard;65;1;3
VOJK;pollard;67;1;3
VOJK;pollard;76;1;3
VOJK;pollard;71;1;3
VOJK;pollard;40;1;2
VOJK;pollard;75;1;3
VOJK;pollard;91;1;4
VOJK;pollard;97;1;4
VOJK;pollard;56;1;2
VOJK;pollard;35;0;2
VOJK;pollard;71;1;3
VOJK;pollard;55;1;2
VOJK;pollard;76;1;3
VOJK;pollard;46;1;2
VOJK;pollard;57;1;2
VOJK;pollard;99;1;4
VOJK;pollard;62;1;3
VOJK;pollard;64;1;3
VOJK;pollard;51;1;2
VOJK;pollard;89;1;3
VOJK;pollard;66;1;3
VOJK;pollard;81;1;3
VOJK;pollard;79;1;3
VOJK;pollard;87;1;3
VOJK;pollard;91;1;4
VOJK;pollard;81;1;3
VOJK;pollard;89;1;3
VOJK;pollard;47;1;2
VOJK;pollard;78;1;3
VOJK;pollard;45;1;2
VOJK;pollard;73;1;3
VOJK;pollard;91;1;4
VOJK;pollard;68;1;3
VOJK;pollard;75;1;3
VOJK;pollard;28;1;1
VOJK;pollard;52;1;2
VOJK;pollard;46;1;2
VOJK;pollard;75;1;3
VOJK;pollard;63;1;3
VOJK;pollard;46;1;2
VOJK;pollard;65;1;3
VOJK;pollard;56;0;2
VOJK;pollard;48;0;2
VOJK;pollard;49;0;2
VOJK;pollard;23;1;1
VOJK;pollard;30;1;2
VOJK;pollard;96;1;4
VOJK;pollard;85;1;3
VOJK;pollard;80;1;3
VOJK;pollard;32;1;2
VOJK;pollard;32;1;2
VOJK;pollard;53;0;2
VOJK;pollard;37;1;2
VOJK;pollard;43;1;2
VOJK;pollard;43;1;2
VOJK;pollard;49;1;2
VOJK;pollard;41;1;2
VOJK;pollard;80;0;3
VOJK;pollard;29;1;1
VOJK;pollard;55;1;2
VOJK;pollard;46;1;2
VOJK;pollard;27;1;1
VOJK;pollard;57;1;2
VOJK;pollard;81;1;3
VOJK;pollard;64;1;3
VOJK;pollard;80;0;3
VOJK;pollard;76;1;3
VOJK;pollard;64;1;3
VOJK;pollard;43;1;2
VOJK;pollard;39;1;2
VOJK;pollard;69;1;3
VOJK;pollard;51;1;2
VOJK;pollard;57;1;2
VOJK;pollard;54;1;2
VOJK;pollard;37;1;2
VOJK;pollard;56;1;2
VOJK;pollard;54;1;2
VOJK;pollard;22;0;1
VOJK;pollard;51;1;2
